ablation,trainable,base_ppl,after_ppl,delta_ppl,final_loss,min_loss,vram_peak_mb,tok_s,wall_min,grad_svmo,grad_nmf,grad_stb,grad_lora
nmf_b1,401464,9.5203,5.6225,-3.8978,1.1812,1.0782,1615.4,6.72,25.2,0.0,0.60671,0.0,0.0
nmf_b2,802928,9.5207,5.4438,-4.0769,1.1599,1.043,1359.8,6.31,26.86,0.0,0.70982,0.0,0.0
svmo_h64,853188,9.5208,9.2759,-0.2449,1.3389,1.3389,1705.1,6.11,27.74,0.36432,0.0,0.0,0.0
full_nmf_b1,1086204,9.521,4.5648,-4.9562,1.1296,0.9476,1996.4,5.98,28.32,0.18629,0.62009,0.31807,0.0
nmf_b3,1204392,9.5211,5.3843,-4.1368,1.1549,1.0435,1624.6,6.13,27.65,0.0,0.77707,0.0,0.0
no_nmf_h64,1311940,9.5207,5.1495,-4.3712,1.1651,1.0172,1886.0,5.93,28.56,0.29473,0.0,0.43728,0.0
