ablation,trainable,base_ppl,after_ppl,delta_ppl,final_loss,min_loss,vram_peak_mb,tok_s,wall_min,grad_svmo,grad_nmf,grad_stb,grad_lora
nmf_b3,1204392,9.5197,5.3651,-4.1546,1.149,1.0352,1206.5,5.93,28.58,0.0,0.81905,0.0,0.0
no_nmf_h64,1311940,9.5207,5.1374,-4.3833,1.1665,1.0166,1825.3,5.36,31.6,0.29372,0.0,0.50921,0.0
