wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
1668.35,0,18,35,23,2896,1.29395,3.6472,0.0009827033280012782,0.69888,0.07901,0.69086,0.07002,4096.0,False,6772.4,28965.3,35942.1,702.8,1689.6,12097.1,24893.3
1703.8,0,18,36,24,2992,1.68014,5.3663,0.0009827033280012782,,,,,4096.0,,8727.6,26709.7,35447.7,716.8,1683.2,11318.3,24893.3
1742.94,0,19,37,24,3088,1.5642,4.7789,0.0009794382376479335,0.73034,0.06964,0.72331,0.07325,4096.0,False,12246.3,26566.3,39087.6,702.8,1692.9,11961.9,24893.3
1779.08,0,19,38,24,3184,1.69786,5.4622,0.0009794382376479335,,,,,4096.0,,8894.8,27146.4,36124.7,716.8,1683.1,11059.1,24893.3
1819.22,0,20,39,24,3280,1.66047,5.2618,0.00097589742682592,0.71992,0.06209,0.71343,0.07374,4096.0,False,15944.5,23947.7,40107.0,702.8,1696.6,12143.6,24893.3
1865.1,0,20,40,24,3376,1.58357,4.8723,0.00097589742682592,,,,,4096.0,,10974.7,34885.6,45869.8,717.0,1682.6,12097.8,24893.3
1908.28,0,21,41,24,3472,1.16038,3.1911,0.0009720829318225897,0.54931,0.07048,0.54035,0.06922,4096.0,False,9514.7,33354.1,43134.2,702.8,1696.8,12602.4,24893.3
1947.72,0,21,42,24,3568,1.99508,7.3528,0.0009720829318225897,,,,,4096.0,,6190.2,33225.0,39429.6,716.9,1683.1,11987.8,24893.3
1992.84,0,22,43,25,3668,1.41865,4.1315,0.00096799694631852,0.70542,0.05947,0.6958,0.0997,4096.0,False,10450.9,34388.0,45080.0,702.8,1700.0,12128.0,24893.3
2035.84,0,22,44,25,3768,1.07179,2.9206,0.00096799694631852,,,,,4096.0,,14015.2,28899.9,42997.0,716.8,1686.4,12555.1,24893.3
2072.09,0,23,45,25,3868,1.32745,3.7714,0.0009636418201259489,0.58538,0.09897,0.57259,0.07085,4096.0,False,10567.4,25440.6,36211.4,702.8,1696.1,9741.1,24893.3
2133.5,0,23,46,25,3968,1.64558,5.184,0.0009636418201259489,,,,,4096.0,,31269.2,30084.7,61394.3,717.1,1686.4,12240.0,24893.3
2166.49,0,24,47,25,4068,1.5693,4.8033,0.0009590200578374197,0.66631,0.07293,0.65396,0.10483,4096.0,False,7237.3,25467.6,32962.9,702.8,1700.2,12471.2,24893.3
2206.35,0,24,48,25,4168,1.89088,6.6252,0.0009590200578374197,,,,,4096.0,,8765.3,31083.0,39858.0,716.6,1686.4,11951.8,24893.3
2247.52,0,25,49,25,4268,1.2605,3.5272,0.0009541343173854127,0.63618,0.04517,0.63014,0.07492,4096.0,False,9635.8,31245.6,41129.3,702.8,1695.8,12155.8,24893.3
2286.24,0,25,50,25,4368,1.60058,4.9559,0.0009541343173854127,,,,,4096.0,,7872.4,30770.7,38715.8,716.6,1683.0,10934.0,24893.3
2327.6,0,26,51,25,4468,1.70859,5.5212,0.000948987408513794,0.83176,0.11363,0.81918,0.08865,4096.0,False,15171.8,25885.6,41324.5,702.8,1695.8,12529.8,24893.3
2363.05,0,26,52,25,4568,1.57115,4.8122,0.000948987408513794,,,,,4096.0,,9173.1,26258.0,35443.0,716.8,1686.4,12526.0,24893.3
2407.66,0,27,53,26,4672,1.42969,4.1774,0.0009435822911619564,0.62239,0.08633,0.60899,0.0951,4096.0,False,8860.0,35462.6,44579.4,702.8,1703.1,11304.9,24893.3
2450.84,0,27,54,26,4776,1.49554,4.4617,0.0009435822911619564,,,,,4096.0,,11388.2,31713.2,43171.5,716.6,1687.8,11919.3,24893.3
2488.77,0,28,55,26,4880,1.40937,4.0934,0.0009379220737625876,0.66451,0.05816,0.65955,0.05636,4096.0,False,10569.5,27133.7,37900.2,702.8,1702.9,12153.6,24893.3
2534.71,0,28,56,26,4984,1.36813,3.928,0.0009379220737625876,,,,,4096.0,,9464.5,36402.0,45930.4,717.1,1689.0,12156.4,24893.3
2566.53,0,29,57,26,5088,1.4412,4.2258,0.0009320100114540382,0.58711,0.04722,0.57622,0.10212,4096.0,False,8832.3,22692.8,31790.3,702.8,1703.4,12318.2,24893.3
2595.53,0,29,58,27,5196,1.20348,3.3317,0.0009320100114540382,,,,,4096.0,,8079.1,20888.5,28987.2,716.7,1689.9,12603.9,24893.3
2681.54,0,30,59,27,5304,1.51943,4.5696,0.0009258495042083222,0.51136,0.05887,0.50042,0.08719,4096.0,False,13097.5,72616.1,85982.3,702.8,1702.2,12070.5,24893.3
2719.63,0,30,60,27,5412,1.55283,4.7248,0.0009258495042083222,,,,,4096.0,,7809.8,30204.6,38080.8,716.7,1692.2,12725.7,24893.3
2748.29,0,31,61,27,5520,1.38696,4.0027,0.000919444094875825,0.5335,0.05569,0.52571,0.07179,4096.0,False,5816.9,22573.1,28628.6,702.8,1703.3,12083.2,24893.3
2779.13,0,31,62,27,5628,1.40768,4.0864,0.000919444094875825,,,,,4096.0,,8602.4,22162.2,30823.5,716.8,1692.7,12843.5,24893.3
2828.18,0,32,63,27,5736,1.70783,5.517,0.0009127974671478432,0.59032,0.04684,0.5826,0.0828,4096.0,False,19166.0,29612.4,49021.2,702.8,1706.3,12116.7,24893.3
2869.74,0,32,64,28,5848,1.38656,4.0011,0.0009127974671478432,,,,,4096.0,,9672.0,31869.0,41555.0,716.8,1693.0,11410.4,24893.3
2914.28,0,33,65,28,5960,1.52282,4.5851,0.0009059134434381273,0.53946,0.05466,0.52722,0.10032,4096.0,False,14572.7,29735.8,44502.6,702.8,1709.5,11910.3,24893.3
2953.57,0,33,66,28,6072,1.27739,3.5873,0.0009059134434381273,,,,,4096.0,,8749.4,30483.9,39281.4,717.0,1695.5,12032.5,24893.3
