wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
37.67,0,0,0,19,76,3.15742,23.5098,0.001,,,,,,4096.0,,19332.2,18275.3,37616.8,25.5,966.2,12999.3,24893.3
72.78,0,1,1,20,156,3.36443,28.917,0.0,3.53468,0.0,3.53468,0.0,0.0,4096.0,False,13744.9,20579.0,35102.4,30.1,973.8,13201.8,24893.3
106.33,0,1,2,21,240,3.21862,24.9935,0.0,,,,,,4096.0,,10975.6,22553.3,33538.2,34.7,981.7,11969.2,24893.3
149.38,0,2,3,22,328,2.5462,12.7585,0.001,2.1678,0.0,2.1678,0.0,0.0,4096.0,False,10338.2,32044.3,43037.7,30.1,989.3,11031.8,24893.3
182.91,0,2,4,23,420,1.71642,5.5646,0.001,,,,,,4096.0,,12112.0,21378.5,33514.3,34.7,987.9,12177.2,24893.3
212.37,0,3,5,24,516,3.21692,24.9511,0.000992403876506104,1.62747,0.0,1.62747,0.0,0.0,4096.0,False,8530.2,20823.1,29448.4,30.1,995.5,12501.7,24893.3
244.1,0,3,6,25,616,2.00367,7.4162,0.000992403876506104,,,,,,4096.0,,5231.8,26483.5,31727.2,34.7,994.2,11941.7,24893.3
271.52,0,4,7,25,716,1.79288,6.0067,0.0009698463103929542,0.95519,0.0,0.95519,0.0,0.0,4096.0,False,7582.8,19738.2,27416.4,30.1,998.6,13538.8,24893.3
315.0,0,4,8,25,816,2.00854,7.4524,0.0009698463103929542,,,,,,4096.0,,11157.8,32300.9,43476.6,34.7,994.2,12015.7,24893.3
342.58,0,5,9,26,920,1.74543,5.7284,0.0009330127018922195,0.90864,0.0,0.90864,0.0,0.0,4096.0,False,7595.7,19890.7,27574.0,30.1,1001.7,12338.1,24893.3
374.83,0,5,10,27,1028,2.06339,7.8726,0.0009330127018922195,,,,,,4096.0,,8894.5,23331.2,32241.0,34.7,1000.4,12242.2,24893.3
409.42,0,6,11,27,1136,1.97572,7.2118,0.000883022221559489,1.39331,0.0,1.39331,0.0,0.0,4096.0,False,7518.8,26973.7,34592.3,30.1,1004.9,12238.7,24893.3
448.34,0,6,12,28,1248,1.8493,6.3554,0.000883022221559489,,,,,,4096.0,,6852.6,32038.3,38913.2,34.7,1003.5,12171.9,24893.3
478.09,0,7,13,30,1368,1.89104,6.6262,0.0008213938048432696,0.5374,0.0,0.5374,0.0,0.0,4096.0,False,7079.2,22576.1,29746.3,30.1,1014.2,12728.7,24893.3
506.09,0,7,14,31,1492,1.85619,6.3993,0.0008213938048432696,,,,,,4096.0,,6292.9,21683.7,27990.3,34.7,1012.9,12331.8,24893.3
