wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
37.88,0,0,0,19,76,3.15801,23.5237,0.001,,,,,,4096.0,,19199.7,18653.1,37862.1,25.5,966.2,12340.4,24893.3
73.08,0,1,1,20,156,3.36515,28.9378,0.0,3.57695,0.0,3.57695,0.0,0.0,4096.0,False,11439.9,23656.4,35193.0,30.1,973.8,12927.7,24893.3
99.35,0,1,2,21,240,3.23629,25.4392,0.0,,,,,,4096.0,,4585.5,21672.2,26264.8,34.7,981.7,12788.7,24893.3
123.21,0,2,3,22,328,2.55262,12.8407,0.001,2.26469,0.0,2.26469,0.0,0.0,4096.0,False,4030.4,19739.2,23856.4,30.1,989.3,12763.1,24893.3
150.02,0,2,4,23,420,1.71713,5.5685,0.001,,,,,,4096.0,,5822.5,20968.4,26802.3,34.7,987.9,12588.7,24893.3
173.85,0,3,5,24,516,3.21911,25.0057,0.000992403876506104,1.67965,0.0,1.67965,0.0,0.0,4096.0,False,4197.8,19521.3,23821.8,30.1,995.5,12761.6,24893.3
199.77,0,3,6,25,616,2.00784,7.4472,0.000992403876506104,,,,,,4096.0,,4806.9,21102.4,25917.1,34.7,994.2,12760.3,24893.3
225.74,0,4,7,25,716,1.80024,6.0511,0.0009698463103929542,0.92838,0.0,0.92838,0.0,0.0,4096.0,False,4149.3,21727.1,25966.3,30.1,998.6,12739.4,24893.3
255.51,0,4,8,25,816,2.02149,7.5496,0.0009698463103929542,,,,,,4096.0,,6501.6,23246.2,29767.9,34.7,994.2,13019.6,24893.3
285.06,0,5,9,26,920,1.7542,5.7788,0.0009330127018922195,0.81495,0.0,0.81495,0.0,0.0,4096.0,False,7943.8,21514.5,29542.2,30.1,1001.7,12668.6,24893.3
317.06,0,5,10,27,1028,2.07084,7.9314,0.0009330127018922195,,,,,,4096.0,,4662.3,27311.5,31990.3,34.7,1000.4,12860.5,24893.3
344.87,0,6,11,27,1136,1.97822,7.2298,0.000883022221559489,0.58389,0.0,0.58389,0.0,0.0,4096.0,False,4578.2,23130.9,27807.1,30.1,1004.9,12624.8,24893.3
374.66,0,6,12,28,1248,1.84392,6.3213,0.000883022221559489,,,,,,4096.0,,5310.0,24465.2,29788.3,34.7,1003.5,12525.2,24893.3
408.0,0,7,13,30,1368,1.8952,6.6539,0.0008213938048432696,0.51737,0.0,0.51737,0.0,0.0,4096.0,False,7270.7,25967.1,33332.6,30.1,1014.2,12249.5,24893.3
438.1,0,7,14,31,1492,1.85983,6.4227,0.0008213938048432696,,,,,,4096.0,,6673.1,23401.9,30091.7,34.7,1012.9,12221.3,24893.3
472.98,0,8,15,33,1624,1.59361,4.9215,0.00075,0.60665,0.0,0.60665,0.0,0.0,4096.0,False,7563.1,27205.1,34872.2,30.1,1023.5,12188.5,24893.3
510.04,0,8,16,35,1764,1.26673,3.5492,0.00075,,,,,,4096.0,,9587.1,27450.0,37062.1,34.7,1025.3,12587.5,24893.3
546.35,0,9,17,37,1912,1.5231,4.5864,0.0006710100716628344,0.58443,0.0,0.58443,0.0,0.0,4096.0,False,7576.3,28604.8,36295.5,30.1,1036.0,11556.0,24893.3
584.6,0,9,18,38,2064,2.11771,8.3121,0.0006710100716628344,,,,,,4096.0,,9499.9,28735.3,38248.5,34.7,1034.7,11667.4,24893.3
614.91,0,10,19,42,2232,1.43096,4.1827,0.0005868240888334653,0.4799,0.0,0.4799,0.0,0.0,4096.0,False,10165.5,20045.2,30301.3,30.1,1051.6,12696.0,24893.3
656.9,0,10,20,45,2412,1.42224,4.1464,0.0005868240888334653,,,,,,4096.0,,9425.7,32544.3,41987.0,34.7,1056.5,11854.9,24893.3
692.47,0,11,21,51,2616,1.80275,6.0663,0.0005,0.41212,0.0,0.41212,0.0,0.0,4096.0,False,9428.4,26034.5,35560.9,30.1,1079.6,12658.8,24893.3
731.39,0,11,22,56,2840,1.75505,5.7838,0.0005,,,,,,4096.0,,9334.3,29564.0,38921.5,34.7,1090.8,11240.9,24893.3
784.47,0,12,23,66,3104,2.04166,7.7034,0.00041317591116653486,0.37604,0.0,0.37604,0.0,0.0,4096.0,False,13740.6,39199.8,53068.7,30.1,1126.4,12239.2,24893.3
824.06,0,12,24,70,3384,1.57804,4.8455,0.00041317591116653486,,,,,,4096.0,,11018.8,28536.2,39590.9,34.7,1134.4,11917.9,24893.3
871.01,0,13,25,72,3672,1.69834,5.4649,0.0003289899283371657,0.37286,0.0,0.37286,0.0,0.0,4096.0,False,12213.9,34607.8,46934.3,30.1,1145.1,12508.9,24893.3
916.47,0,13,26,82,4000,1.04351,2.8392,0.0003289899283371657,,,,,,4096.0,,10434.3,34987.9,45466.3,34.7,1171.8,11788.1,24893.3
958.37,0,14,27,86,4344,1.42433,4.1551,0.0002500000000000001,0.33626,0.0,0.33626,0.0,0.0,4096.0,False,11744.4,30001.7,41886.7,30.1,1188.7,12482.2,24893.3
1015.6,0,14,28,95,4724,1.17706,3.2448,0.0002500000000000001,,,,,,4096.0,,11274.6,45908.8,57228.0,34.7,1212.3,11376.1,24893.3
1070.3,0,15,29,103,5136,1.59188,4.913,0.0001786061951567303,0.29388,0.0,0.29388,0.0,0.0,4096.0,False,13905.3,40666.5,54695.4,30.1,1241.7,11765.4,24893.3
1120.03,0,15,30,108,5568,1.49354,4.4528,0.0001786061951567303,,,,,,4096.0,,13572.8,36106.0,49730.2,34.7,1252.9,11334.1,24893.3
1175.05,0,16,31,113,6020,1.46,4.306,0.00011697777844051105,0.25953,0.0,0.25953,0.0,0.0,4096.0,False,17016.4,37861.4,55008.4,30.1,1272.9,11908.0,24893.3
1239.27,0,16,32,126,6524,1.38984,4.0142,0.00011697777844051105,,,,,,4096.0,,13780.5,50385.8,64215.7,34.7,1309.0,12156.4,24893.3
1294.77,0,17,33,148,7116,1.65432,5.2295,6.698729810778065e-05,0.25153,0.0,0.25153,0.0,0.0,4096.0,False,14485.7,40854.8,55490.3,30.1,1382.1,11795.6,24893.3
1376.47,0,17,34,165,7776,1.6619,5.2693,6.698729810778065e-05,,,,,,4096.0,,19425.3,62206.5,81696.1,34.7,1430.7,11459.8,24893.3
