ablation,trainable,base_ppl,after_ppl,delta_ppl,final_loss,min_loss,vram_peak_mb,tok_s,wall_min,grad_svmo,grad_nmf,grad_stb,grad_lora
s3_full,3896452,9.5208,4.4598,-5.061,1.0874,0.8801,2269.5,5.61,30.17,0.16066,0.94233,0.22809,0.0
lora_r1,2523136,9.5208,4.5814,-4.9394,1.1022,0.8942,1314.7,4.95,34.22,0.0,0.0,0.0,6.19515
lora_r2,5046272,9.5208,4.57,-4.9508,1.0882,0.8851,1598.0,5.03,33.65,0.0,0.0,0.0,4.22334
lora_r8,20185088,9.5208,4.5377,-4.9831,1.0945,0.8906,1605.9,5.56,30.46,0.0,0.0,0.0,2.05857
