timestamp,wall_time_s,step,epoch,batch_idx,micro_step,loss,vram_mb,vram_peak_mb,step_time_ms,tokens_per_sec,lr,nfr_steps,sbs_active_pct,gpu_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_mhz,mem_clock_mhz,cpu_usage_pct,cpu_temp_c,cpu_power_w,ram_gb,layer_fwd_ms,layer_bwd_ms
2026-07-13T17:33:24.039942,9.1,0,0,0,0,nan,2144.7,2144.7,9111.90,3.0,1.00e-03,4,0.300,16.0,73,0.0,1354,3504,100.0,95.0,0.0,2.9,5467.14,3644.76
2026-07-13T17:33:31.355233,16.4,0,0,0,1,nan,2145.0,2145.0,7313.23,3.7,1.00e-03,4,0.300,15.0,73,0.0,1354,3504,100.5,92.0,0.0,2.9,4387.94,2925.29
2026-07-13T17:33:38.794388,23.9,0,0,0,2,nan,2145.3,2145.3,7437.83,3.6,1.00e-03,4,0.300,11.0,73,0.0,1354,3504,100.6,97.0,0.0,2.9,4462.70,2975.13
2026-07-13T17:33:46.196582,31.3,0,0,0,3,nan,2145.5,2145.5,7401.03,3.6,1.00e-03,4,0.300,7.0,73,0.0,1354,3504,100.6,95.0,0.0,2.9,4440.62,2960.41
2026-07-13T17:33:53.713232,38.8,0,0,0,4,nan,2145.6,2145.6,7515.91,3.6,1.00e-03,4,0.300,7.0,73,0.0,1354,3504,100.8,94.0,0.0,2.9,4509.55,3006.36
2026-07-13T17:34:01.555569,46.6,0,0,0,5,nan,2145.6,2145.6,7841.35,3.4,1.00e-03,4,0.300,12.0,73,0.0,1354,3504,100.3,98.0,0.0,2.9,4704.81,3136.54
2026-07-13T17:34:09.439199,54.5,0,0,0,6,nan,2145.6,2145.6,7882.94,3.4,1.00e-03,4,0.300,5.0,73,0.0,1354,3504,100.8,96.0,0.0,2.9,4729.76,3153.18
2026-07-13T17:34:17.364240,62.5,0,0,0,7,nan,2145.6,2145.6,7924.13,3.4,1.00e-03,4,0.300,13.0,73,0.0,1354,3504,100.6,96.0,0.0,2.9,4754.48,3169.65
2026-07-13T17:34:25.520230,70.6,0,0,0,8,nan,2145.6,2145.6,8154.44,3.3,1.00e-03,4,0.300,12.0,73,0.0,1354,3504,100.8,91.0,0.0,2.9,4892.66,3261.78
2026-07-13T17:34:33.868512,79.0,0,0,0,9,nan,2145.6,2145.6,8347.38,3.2,1.00e-03,4,0.300,13.0,73,0.0,1354,3504,100.8,92.0,0.0,2.9,5008.43,3338.95
2026-07-13T17:34:42.292807,87.4,0,0,0,10,nan,2145.7,2145.7,8423.43,3.2,1.00e-03,4,0.300,7.0,73,0.0,1354,3504,100.3,93.0,0.0,2.9,5054.06,3369.37
2026-07-13T17:34:50.774270,95.9,0,0,0,11,nan,2145.8,2145.8,8480.53,3.2,1.00e-03,4,0.300,9.0,73,0.0,1354,3504,100.6,95.0,0.0,2.9,5088.32,3392.21
2026-07-13T17:34:59.396784,104.5,0,0,0,12,nan,2145.8,2145.8,8618.46,3.1,1.00e-03,4,0.300,8.0,73,0.0,1354,3504,100.5,96.0,0.0,2.9,5171.07,3447.38
2026-07-13T17:35:08.007600,113.1,0,0,0,13,nan,2145.8,2145.8,8609.36,3.1,1.00e-03,4,0.300,5.0,73,0.0,1354,3504,100.6,99.0,0.0,2.9,5165.61,3443.74
2026-07-13T17:35:16.746654,121.8,0,0,0,14,nan,2145.8,2145.8,8738.00,3.1,1.00e-03,4,0.300,11.0,73,0.0,1354,3504,100.7,94.0,0.0,2.9,5242.80,3495.20
2026-07-13T17:35:25.720150,130.8,0,0,0,15,nan,2145.8,2145.8,8970.55,3.0,1.00e-03,4,0.300,13.0,73,0.0,1354,3504,100.5,97.0,0.0,2.9,5382.33,3588.22
