wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
45.01,0,0,0,66,66,1.39974,4.0542,0.001,,,,,4096.0,,21954.9,22981.3,44950.0,686.2,1631.0,11188.9,24893.3
83.5,0,1,1,56,122,1.72597,5.6179,0.0,1.81288,0.20945,1.79976,0.05944,4096.0,False,11034.5,27061.8,38457.8,701.0,1633.4,11361.7,24893.3
117.8,0,1,2,25,147,1.17336,3.2328,0.0,,,,,4096.0,,13752.8,20527.2,34281.7,714.8,1630.3,11840.3,24893.3
148.82,0,2,3,82,229,1.00593,2.7345,0.001,1.2106,0.12318,1.20098,0.08951,4096.0,False,9194.8,21619.6,30992.0,701.8,1682.6,11727.7,24893.3
182.22,0,2,4,96,325,1.1065,3.0237,0.001,,,,,4096.0,,10000.2,23370.8,33386.1,715.7,1684.1,11773.8,24893.3
217.56,0,3,5,91,416,1.42609,4.1624,0.00075,0.70987,0.06494,0.70437,0.05966,4096.0,False,11433.7,23692.0,35307.9,702.6,1694.0,11882.3,24893.3
247.9,0,3,6,14,430,3.41838,30.5198,0.00075,,,,,4096.0,,9476.9,20849.6,30328.0,716.6,1626.4,11832.4,24893.3
283.98,0,4,7,96,526,1.58216,4.8655,0.0002500000000000001,3.48206,0.31094,3.46141,0.21608,4096.0,False,10987.0,24852.8,36057.6,702.8,1698.9,11859.3,24893.3
