wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
1346.56,0,18,35,82,5308,0.98365,2.6742,0.0002500000000000001,0.33997,0.0245,0.32912,0.0816,4096.0,False,8603.2,32484.4,41303.3,702.8,1884.0,12764.3,24893.3
1390.9,0,18,36,84,5644,1.3671,3.924,0.0002500000000000001,,,,,4096.0,,10785.1,33499.4,44335.0,718.0,1875.7,12422.0,24893.3
1443.25,0,19,37,90,6004,1.37759,3.9653,0.00019561928549563967,0.38012,0.04075,0.37008,0.07662,4096.0,False,12447.9,39649.9,52345.5,702.8,1909.7,12715.0,24893.3
1493.44,0,19,38,95,6384,1.15044,3.1596,0.00019561928549563967,,,,,4096.0,,10951.5,39172.6,50180.1,718.0,1911.0,11590.7,24893.3
1559.44,0,20,39,100,6784,1.52055,4.5747,0.00014644660940672628,0.3404,0.02706,0.33057,0.07656,4096.0,False,18790.7,46966.6,65990.5,702.8,1941.8,13266.1,24893.3
1629.85,0,20,40,103,7196,1.38284,3.9862,0.00014644660940672628,,,,,4096.0,,17148.9,53207.2,70406.4,718.0,1936.7,12380.3,24893.3
1701.09,0,21,41,108,7628,1.34678,3.845,0.00010332332985438247,0.34361,0.02809,0.33421,0.07469,4096.0,False,12140.0,58856.1,71232.8,702.8,1967.5,11539.8,24893.3
1763.32,0,21,42,110,8068,1.46277,4.3179,0.00010332332985438247,,,,,4096.0,,13034.2,49140.9,62229.9,718.0,1959.2,12651.6,24893.3
1826.44,0,22,43,116,8532,1.19079,3.2897,6.698729810778065e-05,0.28043,0.03704,0.27067,0.06332,4096.0,False,10706.1,52160.1,63105.9,702.8,1993.2,12348.8,24893.3
1878.1,0,22,44,127,9040,1.49085,4.4409,6.698729810778065e-05,,,,,4096.0,,12529.4,39089.0,51657.8,718.0,2013.7,12400.2,24893.3
1944.73,0,23,45,142,9608,1.66533,5.2874,3.806023374435663e-05,0.26781,0.03926,0.25842,0.05833,4096.0,False,14631.8,51755.0,66632.3,702.8,2076.6,12240.4,24893.3
2012.77,0,23,46,164,10264,1.66492,5.2852,3.806023374435663e-05,,,,,4096.0,,15660.5,52286.7,68029.4,718.0,2132.6,12115.8,24893.3
2118.3,0,24,47,204,11080,1.32138,3.7486,1.70370868554659e-05,0.27368,0.02498,0.26541,0.06191,4096.0,False,23260.0,82011.1,105529.8,702.8,2275.8,11011.8,24893.3
2231.06,0,24,48,236,12024,1.67634,5.3459,1.70370868554659e-05,,,,,4096.0,,26920.1,85733.6,112754.8,718.0,2363.9,11375.2,24893.3
2330.16,0,25,49,256,13048,1.27202,3.5681,4.277569313094809e-06,0.25517,0.02767,0.24835,0.05165,4096.0,False,22677.9,76084.4,99087.4,702.8,2442.9,11316.8,24893.3
